Date,Closing Price,Open,Daily High,Daily Low
3/11/2020,35.79,37.27,39.70,35.35
3/10/2020,37.22,35.84,38.22,35.00
3/9/2020,34.36,38.28,38.34,31.02
3/6/2020,45.27,50.25,50.45,45.18
3/5/2020,49.99,51.66,52.04,49.70
3/4/2020,51.13,52.11,53.03,51.04
3/3/2020,51.86,53.47,53.90,51.22
3/2/2020,51.90,48.95,53.20,48.40
2/28/2020,50.52,51.42,51.52,50.05
2/27/2020,52.18,53.18,53.25,50.97
2/26/2020,53.43,55.13,55.45,53.03
2/25/2020,54.95,56.46,56.98,54.62
2/24/2020,56.30,57.85,57.86,55.13
2/21/2020,58.50,59.00,59.25,57.73
2/20/2020,59.31,59.31,60.00,58.90
2/19/2020,59.12,57.60,59.40,57.51
2/18/2020,57.75,57.35,57.83,56.30
2/17/2020,57.67,57.29,57.70,56.83
2/14/2020,57.32,56.41,57.53,56.15
2/13/2020,56.34,55.75,56.83,54.96
2/12/2020,55.79,54.41,56.36,54.39
2/11/2020,54.01,53.62,54.69,53.60
2/10/2020,53.27,54.20,54.71,53.11
2/7/2020,54.47,55.14,55.40,54.21
2/6/2020,54.93,55.56,56.58,54.25
2/5/2020,55.28,54.05,56.46,54.05
2/4/2020,53.96,54.33,55.65,53.69
2/3/2020,54.45,56.16,56.77,54.08
1/31/2020,58.16,59.30,59.45,57.94
1/30/2020,58.29,59.60,59.65,57.71
1/29/2020,59.81,59.86,60.62,59.26
1/28/2020,59.51,59.03,60.12,58.50
1/27/2020,59.32,60.23,60.49,58.50
1/24/2020,60.69,62.01,62.46,60.25
1/23/2020,62.04,62.68,62.69,61.25
1/22/2020,63.21,64.57,64.58,62.62
1/21/2020,64.59,65.26,65.35,64.06
1/20/2020,65.20,65.98,66.00,64.92
1/17/2020,64.85,64.69,65.60,64.48
1/16/2020,64.62,64.26,64.97,63.90
1/15/2020,64.00,64.44,64.60,63.55
1/14/2020,64.49,64.29,65.05,63.92
1/13/2020,64.20,65.13,65.27,63.92
1/10/2020,64.98,65.29,65.66,64.86
1/9/2020,65.37,66.00,66.10,64.56
1/8/2020,65.44,71.22,71.75,64.94
1/7/2020,68.27,68.63,68.75,67.65
1/6/2020,68.91,69.35,70.74,68.21
1/3/2020,68.60,66.28,69.50,66.22
1/2/2020,66.25,66.41,66.58,65.72
12/31/2019,66.00,66.65,66.93,65.63
12/30/2019,68.44,68.20,68.99,68.16
12/27/2019,68.16,67.91,68.33,67.57
12/26/2019,67.92,67.27,67.99,67.22
12/24/2019,67.20,66.44,67.26,66.36
12/23/2019,66.39,66.15,66.62,65.81
12/20/2019,66.14,66.56,66.72,65.70
12/19/2019,66.54,66.19,66.78,66.03
12/18/2019,66.17,65.84,66.43,65.56
12/17/2019,66.10,65.31,66.24,65.12
12/16/2019,65.34,65.05,65.66,64.88
12/13/2019,65.22,64.56,65.79,64.50
12/12/2019,64.20,63.90,64.85,63.87
12/11/2019,63.72,64.00,64.26,63.01
12/10/2019,64.34,64.03,64.69,63.78
12/9/2019,64.25,64.29,64.50,63.61
12/6/2019,64.39,63.41,64.88,62.83
12/5/2019,63.39,62.97,63.91,62.75
12/4/2019,63.00,61.08,63.51,61.00
12/3/2019,60.82,61.05,61.58,60.30
12/2/2019,60.92,60.73,62.09,60.72
11/29/2019,62.43,63.77,63.86,62.36
11/28/2019,63.87,63.91,64.00,63.19
11/27/2019,64.06,64.02,64.60,63.51
11/26/2019,64.27,63.70,64.32,63.44
11/25/2019,63.65,63.60,63.80,62.97
11/22/2019,63.39,63.62,64.27,62.98
11/21/2019,63.97,62.22,64.03,61.92
11/20/2019,62.40,60.94,62.80,60.30
11/19/2019,60.91,62.28,62.57,60.70
11/18/2019,62.44,63.36,63.57,61.94
11/15/2019,63.30,62.47,63.65,61.70
11/14/2019,62.28,62.61,63.21,62.15
11/13/2019,62.37,61.85,62.74,61.22
11/12/2019,62.06,62.11,62.85,61.82
11/11/2019,62.18,62.60,62.76,61.57
11/8/2019,62.51,62.29,62.70,60.66
11/7/2019,62.29,61.73,62.89,61.65
11/6/2019,61.74,62.78,63.32,61.59
11/5/2019,62.96,62.04,63.19,61.85
11/4/2019,62.13,61.80,62.78,61.28
11/1/2019,61.69,,61.82,59.40
10/31/2019,60.23,60.57,61.13,60.07
10/30/2019,60.61,61.60,61.93,60.45
10/29/2019,61.59,61.61,61.98,60.66
10/28/2019,61.57,62.04,62.34,61.19
10/25/2019,62.02,61.50,62.11,60.93
10/24/2019,61.67,60.99,61.90,60.64
10/23/2019,61.17,59.48,61.30,58.85
10/22/2019,59.70,59.05,60.26,58.75
10/21/2019,58.96,59.23,59.55,58.26
10/18/2019,59.42,59.78,60.29,59.01
10/17/2019,59.91,58.99,60.04,58.69
10/16/2019,59.42,58.90,59.75,58.36
10/15/2019,58.74,59.30,59.68,58.00
10/14/2019,59.35,60.69,60.73,58.50
10/11/2019,60.51,59.53,60.69,59.21
10/10/2019,59.10,58.04,59.60,57.80
10/9/2019,58.32,58.02,59.35,57.91
10/8/2019,58.24,58.47,58.92,57.38
10/7/2019,58.35,58.02,59.68,58.02
10/4/2019,58.37,57.69,58.96,57.67
10/3/2019,57.71,57.54,57.99,56.15
10/2/2019,57.69,59.25,59.50,57.22
10/1/2019,58.89,59.38,60.10,58.41
9/30/2019,60.78,62.24,62.24,60.73
9/27/2019,61.91,62.48,62.75,60.76
9/26/2019,62.74,62.58,62.92,61.45
9/25/2019,62.39,62.44,62.81,61.23
9/24/2019,63.10,64.40,64.60,62.30
9/23/2019,64.77,65.23,65.50,63.53
9/20/2019,64.28,65.00,65.28,64.05
9/19/2019,64.40,63.51,65.57,63.46
9/18/2019,63.60,64.23,64.99,63.04
9/17/2019,64.55,68.15,69.26,63.55
9/16/2019,69.02,66.45,71.95,64.75
9/13/2019,60.22,60.45,60.81,59.60
9/12/2019,60.38,61.16,61.39,58.92
9/11/2019,60.81,62.88,63.27,60.52
9/10/2019,62.38,62.82,63.78,62.17
9/9/2019,62.59,61.60,63.00,61.57
9/6/2019,61.54,60.81,61.88,59.40
9/5/2019,60.95,60.49,62.40,60.25
9/4/2019,60.70,58.17,60.96,58.13
9/3/2019,58.26,58.54,58.87,57.23
9/2/2019,58.66,58.80,59.26,58.10
8/30/2019,60.43,60.98,61.17,60.25
8/29/2019,61.08,60.48,61.19,59.98
8/28/2019,60.49,60.04,61.00,59.80
8/27/2019,59.51,58.80,60.17,58.51
8/26/2019,58.70,58.35,60.17,58.24
8/23/2019,59.34,60.11,60.29,58.30
8/22/2019,59.92,60.43,60.89,59.47
8/21/2019,60.30,60.11,61.41,60.07
8/20/2019,60.03,59.68,60.32,58.95
8/19/2019,59.74,58.72,59.92,58.64
8/16/2019,58.64,58.41,59.50,58.28
