,Date,Closing Price,Open,Daily High,Daily Low
0,3/11/2020,35.79,37.27,39.7,35.35
1,3/10/2020,37.22,35.84,38.22,35.0
2,3/9/2020,34.36,38.28,38.34,31.02
3,3/6/2020,45.27,50.25,50.45,45.18
4,3/5/2020,49.99,51.66,52.04,49.7
5,3/4/2020,51.13,52.11,53.03,51.04
6,3/3/2020,51.86,53.47,53.9,51.22
7,3/2/2020,51.9,48.95,53.2,48.4
8,2/28/2020,50.52,51.42,51.52,50.05
9,2/27/2020,52.18,53.18,53.25,50.97
10,2/26/2020,53.43,55.13,55.45,53.03
11,2/25/2020,54.95,56.46,56.98,54.62
12,2/24/2020,56.3,57.85,57.86,55.13
13,2/21/2020,58.5,59.0,59.25,57.73
14,2/20/2020,59.31,59.31,60.0,58.9
15,2/19/2020,59.12,57.6,59.4,57.51
16,2/18/2020,57.75,57.35,57.83,56.3
17,2/17/2020,57.67,57.29,57.7,56.83
18,2/14/2020,57.32,56.41,57.53,56.15
19,2/13/2020,56.34,55.75,56.83,54.96
20,2/12/2020,55.79,54.41,56.36,54.39
21,2/11/2020,54.01,53.62,54.69,53.6
22,2/10/2020,53.27,54.2,54.71,53.11
23,2/7/2020,54.47,55.14,55.4,54.21
24,2/6/2020,54.93,55.56,56.58,54.25
25,2/5/2020,55.28,54.05,56.46,54.05
26,2/4/2020,53.96,54.33,55.65,53.69
27,2/3/2020,54.45,56.16,56.77,54.08
28,1/31/2020,58.16,59.3,59.45,57.94
29,1/30/2020,58.29,59.6,59.65,57.71
30,1/29/2020,59.81,59.86,60.62,59.26
31,1/28/2020,59.51,59.03,60.12,58.5
32,1/27/2020,59.32,60.23,60.49,58.5
33,1/24/2020,60.69,62.01,62.46,60.25
34,1/23/2020,62.04,62.68,62.69,61.25
35,1/22/2020,63.21,64.57,64.58,62.62
36,1/21/2020,64.59,65.26,65.35,64.06
37,1/20/2020,65.2,65.98,66.0,64.92
38,1/17/2020,64.85,64.69,65.6,64.48
39,1/16/2020,64.62,64.26,64.97,63.9
40,1/15/2020,64.0,64.44,64.6,63.55
41,1/14/2020,64.49,64.29,65.05,63.92
42,1/13/2020,64.2,65.13,65.27,63.92
43,1/10/2020,64.98,65.29,65.66,64.86
44,1/9/2020,65.37,66.0,66.1,64.56
45,1/8/2020,65.44,71.22,71.75,64.94
46,1/7/2020,68.27,68.63,68.75,67.65
47,1/6/2020,68.91,69.35,70.74,68.21
48,1/3/2020,68.6,66.28,69.5,66.22
49,1/2/2020,66.25,66.41,66.58,65.72
50,12/31/2019,66.0,66.65,66.93,65.63
51,12/30/2019,68.44,68.2,68.99,68.16
52,12/27/2019,68.16,67.91,68.33,67.57
53,12/26/2019,67.92,67.27,67.99,67.22
54,12/24/2019,67.2,66.44,67.26,66.36
55,12/23/2019,66.39,66.15,66.62,65.81
56,12/20/2019,66.14,66.56,66.72,65.7
57,12/19/2019,66.54,66.19,66.78,66.03
58,12/18/2019,66.17,65.84,66.43,65.56
59,12/17/2019,66.1,65.31,66.24,65.12
60,12/16/2019,65.34,65.05,65.66,64.88
61,12/13/2019,65.22,64.56,65.79,64.5
62,12/12/2019,64.2,63.9,64.85,63.87
63,12/11/2019,63.72,64.0,64.26,63.01
64,12/10/2019,64.34,64.03,64.69,63.78
65,12/9/2019,64.25,64.29,64.5,63.61
66,12/6/2019,64.39,63.41,64.88,62.83
67,12/5/2019,63.39,62.97,63.91,62.75
68,12/4/2019,63.0,61.08,63.51,61.0
69,12/3/2019,60.82,61.05,61.58,60.3
70,12/2/2019,60.92,60.73,62.09,60.72
71,11/29/2019,62.43,63.77,63.86,62.36
72,11/28/2019,63.87,63.91,64.0,63.19
73,11/27/2019,64.06,64.02,64.6,63.51
74,11/26/2019,64.27,63.7,64.32,63.44
75,11/25/2019,63.65,63.6,63.8,62.97
76,11/22/2019,63.39,63.62,64.27,62.98
77,11/21/2019,63.97,62.22,64.03,61.92
78,11/20/2019,62.4,60.94,62.8,60.3
79,11/19/2019,60.91,62.28,62.57,60.7
80,11/18/2019,62.44,63.36,63.57,61.94
81,11/15/2019,63.3,62.47,63.65,61.7
82,11/14/2019,62.28,62.61,63.21,62.15
83,11/13/2019,62.37,61.85,62.74,61.22
84,11/12/2019,62.06,62.11,62.85,61.82
85,11/11/2019,62.18,62.6,62.76,61.57
86,11/8/2019,62.51,62.29,62.7,60.66
87,11/7/2019,62.29,61.73,62.89,61.65
88,11/6/2019,61.74,62.78,63.32,61.59
89,11/5/2019,62.96,62.04,63.19,61.85
90,11/4/2019,62.13,61.8,62.78,61.28
91,11/1/2019,61.69,78.28162713734142,61.82,59.4
92,10/31/2019,60.23,60.57,61.13,60.07
93,10/30/2019,60.61,61.6,61.93,60.45
94,10/29/2019,61.59,61.61,61.98,60.66
95,10/28/2019,61.57,62.04,62.34,61.19
96,10/25/2019,62.02,61.5,62.11,60.93
97,10/24/2019,61.67,60.99,61.9,60.64
98,10/23/2019,61.17,59.48,61.3,58.85
99,10/22/2019,59.7,59.05,60.26,58.75
100,10/21/2019,58.96,59.23,59.55,58.26
101,10/18/2019,59.42,59.78,60.29,59.01
102,10/17/2019,59.91,58.99,60.04,58.69
103,10/16/2019,59.42,58.9,59.75,58.36
104,10/15/2019,58.74,59.3,59.68,58.0
105,10/14/2019,59.35,60.69,60.73,58.5
106,10/11/2019,60.51,59.53,60.69,59.21
107,10/10/2019,59.1,58.04,59.6,57.8
108,10/9/2019,58.32,58.02,59.35,57.91
109,10/8/2019,58.24,58.47,58.92,57.38
110,10/7/2019,58.35,58.02,59.68,58.02
111,10/4/2019,58.37,57.69,58.96,57.67
